feature,coefficient,abs_coeff
new_odometer_bins_560000.0-570000.0,10961.98844468333,10961.98844468333
new_odometer_bins_1460000.0-1470000.0,-10605.033860435517,10605.033860435517
new_odometer_bins_730000.0-740000.0,10189.591452932826,10189.591452932826
new_odometer_bins_600000.0-610000.0,-9985.064636949572,9985.064636949572
new_odometer_bins_640000.0-650000.0,9793.387446432032,9793.387446432032
new_odometer_bins_670000.0-680000.0,-9712.990229836056,9712.990229836056
new_odometer_bins_2340000.0-2350000.0,-9542.547634694378,9542.547634694378
new_odometer_bins_440000.0-450000.0,-8722.78989578807,8722.78989578807
new_odometer_bins_4720000.0-4730000.0,-8426.243711932999,8426.243711932999
new_odometer_bins_8000000.0-8010000.0,-8231.437419143022,8231.437419143022
new_odometer_bins_1120000.0-1130000.0,-8181.360722219008,8181.360722219008
new_odometer_bins_880000.0-890000.0,7927.369099496172,7927.369099496172
new_odometer_bins_800000.0-810000.0,7855.912306492766,7855.912306492766
new_year_bins_2020.0-2025.0,7688.839318298307,7688.839318298307
new_odometer_bins_1020000.0-1030000.0,-7588.444094728771,7588.444094728771
new_odometer_bins_590000.0-600000.0,-7557.343248015398,7557.343248015398
new_odometer_bins_2620000.0-2630000.0,-7214.994190287491,7214.994190287491
new_odometer_bins_20000.0-30000.0,7152.152421373604,7152.152421373604
new_odometer_bins_960000.0-970000.0,6973.889150987706,6973.889150987706
new_odometer_bins_10000.0-20000.0,6945.59425635964,6945.59425635964
new_odometer_bins_30000.0-40000.0,6836.760497313731,6836.760497313731
new_odometer_bins_3000000.0-3010000.0,-6716.929951107586,6716.929951107586
new_odometer_bins_1580000.0-1590000.0,6674.727359166879,6674.727359166879
new_odometer_bins_40000.0-50000.0,6511.284419248553,6511.284419248553
new_odometer_bins_7770000.0-7780000.0,6080.208440705792,6080.208440705792
new_odometer_bins_540000.0-550000.0,-5913.392275432547,5913.392275432547
new_odometer_bins_490000.0-500000.0,5909.38247148905,5909.38247148905
new_odometer_bins_50000.0-60000.0,5859.825635930203,5859.825635930203
new_year_bins_2015.0-2020.0,5763.829435199503,5763.829435199503
new_odometer_bins_1330000.0-1340000.0,5699.360565490965,5699.360565490965
new_odometer_bins_1320000.0-1330000.0,-5610.563198621075,5610.563198621075
new_odometer_bins_1310000.0-1320000.0,-5438.302265502793,5438.302265502793
new_odometer_bins_1220000.0-1230000.0,5406.563181249652,5406.563181249652
new_odometer_bins_60000.0-70000.0,5382.504701311222,5382.504701311222
new_odometer_bins_9000000.0-9010000.0,-5322.045601555147,5322.045601555147
new_odometer_bins_940000.0-950000.0,-5065.707282482684,5065.707282482684
new_odometer_bins_7460000.0-7470000.0,-5047.604643815282,5047.604643815282
new_odometer_bins_7650000.0-7660000.0,-5041.568508028668,5041.568508028668
new_odometer_bins_70000.0-80000.0,4994.378741968037,4994.378741968037
new_odometer_bins_980000.0-990000.0,4931.07173110939,4931.07173110939
new_odometer_bins_1200000.0-1210000.0,4867.640287685553,4867.640287685553
new_odometer_bins_2530000.0-2540000.0,-4670.353918962433,4670.353918962433
new_odometer_bins_860000.0-870000.0,4651.556897692861,4651.556897692861
new_odometer_bins_1750000.0-1760000.0,-4504.990808766921,4504.990808766921
new_odometer_bins_750000.0-760000.0,4478.892863487951,4478.892863487951
new_odometer_bins_430000.0-440000.0,-4408.106478206791,4408.106478206791
new_odometer_bins_920000.0-930000.0,4326.2964682451875,4326.2964682451875
new_odometer_bins_420000.0-430000.0,-4302.7719804029275,4302.7719804029275
new_odometer_bins_80000.0-90000.0,4274.577684976047,4274.577684976047
new_odometer_bins_720000.0-730000.0,4245.478775691167,4245.478775691167
new_odometer_bins_1770000.0-1780000.0,4166.966894145654,4166.966894145654
new_odometer_bins_930000.0-940000.0,4153.93766867035,4153.93766867035
new_odometer_bins_950000.0-960000.0,4076.419093255466,4076.419093255466
new_odometer_bins_0.0-10000.0,4071.311973119525,4071.311973119525
new_odometer_bins_1600000.0-1610000.0,-4036.5871646296664,4036.5871646296664
new_odometer_bins_1550000.0-1560000.0,3910.885131012511,3910.885131012511
new_odometer_bins_1940000.0-1950000.0,-3888.168353229163,3888.168353229163
fuel_diesel,3887.0973761227237,3887.0973761227237
new_odometer_bins_90000.0-100000.0,3857.7366206725833,3857.7366206725833
fuel_electric,-3832.843884099427,3832.843884099427
new_odometer_bins_740000.0-750000.0,3582.769366246082,3582.769366246082
new_odometer_bins_900000.0-910000.0,3547.030322786675,3547.030322786675
new_odometer_bins_1930000.0-1940000.0,-3543.022868746215,3543.022868746215
new_year_bins_1980.0-1985.0,-3502.760212760773,3502.760212760773
new_odometer_bins_970000.0-980000.0,3470.916473793685,3470.916473793685
new_odometer_bins_1540000.0-1550000.0,-3440.849139514385,3440.849139514385
new_year_bins_1995.0-2000.0,-3363.6690032880615,3363.6690032880615
new_odometer_bins_2610000.0-2620000.0,-3178.3320317072144,3178.3320317072144
new_odometer_bins_700000.0-710000.0,3166.4816579834164,3166.4816579834164
new_odometer_bins_1890000.0-1900000.0,-3114.775855848565,3114.775855848565
new_year_bins_1990.0-1995.0,-3094.016925996347,3094.016925996347
new_odometer_bins_1990000.0-2000000.0,-3074.3367403732173,3074.3367403732173
new_odometer_bins_630000.0-640000.0,3071.0272101221517,3071.0272101221517
new_odometer_bins_100000.0-110000.0,3051.2744688582384,3051.2744688582384
new_odometer_bins_110000.0-120000.0,2882.2709137718984,2882.2709137718984
new_odometer_bins_450000.0-460000.0,-2854.146353278342,2854.146353278342
new_odometer_bins_990000.0-1000000.0,2787.8040003060805,2787.8040003060805
new_odometer_bins_380000.0-390000.0,-2787.4270055313236,2787.4270055313236
new_year_bins_2010.0-2015.0,2754.7060330967133,2754.7060330967133
new_year_bins_1985.0-1990.0,-2746.5245193969727,2746.5245193969727
new_year_bins_2000.0-2005.0,-2689.8850567995282,2689.8850567995282
new_odometer_bins_470000.0-480000.0,2667.3430240821885,2667.3430240821885
new_odometer_bins_2640000.0-2650000.0,2582.5068415124583,2582.5068415124583
new_odometer_bins_1000000.0-1010000.0,2582.1010665344024,2582.1010665344024
new_odometer_bins_480000.0-490000.0,-2571.425287669653,2571.425287669653
new_odometer_bins_1720000.0-1730000.0,-2556.0959416536066,2556.0959416536066
new_odometer_bins_1490000.0-1500000.0,-2520.938637149472,2520.938637149472
new_odometer_bins_1900000.0-1910000.0,-2484.1924587003236,2484.1924587003236
collapsed_type_truck,2463.1503036955764,2463.1503036955764
new_odometer_bins_nan,-2332.4663129160663,2332.4663129160663
new_odometer_bins_120000.0-130000.0,2313.6219965402793,2313.6219965402793
new_odometer_bins_850000.0-860000.0,-2287.9466034870065,2287.9466034870065
new_odometer_bins_1440000.0-1450000.0,2252.1952024473494,2252.1952024473494
new_odometer_bins_2250000.0-2260000.0,2188.5577274969205,2188.5577274969205
new_odometer_bins_400000.0-410000.0,-2187.894960454716,2187.894960454716
new_odometer_bins_1230000.0-1240000.0,-2183.7668040335525,2183.7668040335525
new_odometer_bins_2910000.0-2920000.0,-2141.174687319705,2141.174687319705
new_odometer_bins_2310000.0-2320000.0,-2122.842932313742,2122.842932313742
new_odometer_bins_1660000.0-1670000.0,2099.762039568955,2099.762039568955
new_odometer_bins_130000.0-140000.0,2054.3906145747515,2054.3906145747515
new_odometer_bins_1420000.0-1430000.0,-1985.4946418018803,1985.4946418018803
new_odometer_bins_2100000.0-2110000.0,-1985.3962875891743,1985.3962875891743
new_odometer_bins_1010000.0-1020000.0,1935.4961082956727,1935.4961082956727
new_odometer_bins_1090000.0-1100000.0,-1928.6723297900528,1928.6723297900528
new_odometer_bins_1560000.0-1570000.0,-1901.7445028707712,1901.7445028707712
new_odometer_bins_2120000.0-2130000.0,-1878.6325990175958,1878.6325990175958
new_odometer_bins_2070000.0-2080000.0,-1876.74272667271,1876.74272667271
new_odometer_bins_550000.0-560000.0,-1859.7643574447357,1859.7643574447357
new_odometer_bins_1410000.0-1420000.0,-1826.2854181633445,1826.2854181633445
new_odometer_bins_1350000.0-1360000.0,-1819.6441066293505,1819.6441066293505
new_odometer_bins_1510000.0-1520000.0,1810.1248110921092,1810.1248110921092
new_odometer_bins_690000.0-700000.0,1789.9185935765388,1789.9185935765388
new_odometer_bins_2010000.0-2020000.0,-1772.0080319500566,1772.0080319500566
new_odometer_bins_1800000.0-1810000.0,-1718.9703081570015,1718.9703081570015
new_odometer_bins_140000.0-150000.0,1718.0278522583756,1718.0278522583756
new_odometer_bins_350000.0-360000.0,-1695.327022683256,1695.327022683256
new_odometer_bins_2710000.0-2720000.0,1633.394973916808,1633.394973916808
new_odometer_bins_320000.0-330000.0,-1610.3143803898631,1610.3143803898631
new_odometer_bins_710000.0-720000.0,-1608.775832679681,1608.775832679681
new_odometer_bins_500000.0-510000.0,-1600.7704138614233,1600.7704138614233
collapsed_cylinders_4 cylinders,-1585.430133382483,1585.430133382483
new_odometer_bins_1450000.0-1460000.0,1524.0368529178156,1524.0368529178156
geo_regions_alaska,1490.8903669882957,1490.8903669882957
new_odometer_bins_780000.0-790000.0,1471.822759325911,1471.822759325911
new_odometer_bins_1190000.0-1200000.0,-1455.9840693459196,1455.9840693459196
collapsed_cylinders_8 cylinders,1451.3182057158167,1451.3182057158167
new_odometer_bins_2470000.0-2480000.0,-1445.8903409459417,1445.8903409459417
new_odometer_bins_2320000.0-2330000.0,1437.7490220094317,1437.7490220094317
collapsed_type_car,-1434.034316181469,1434.034316181469
transmission_other,1424.332972041598,1424.332972041598
new_odometer_bins_330000.0-340000.0,-1394.692116311168,1394.692116311168
new_odometer_bins_2000000.0-2010000.0,-1376.7094605146997,1376.7094605146997
new_odometer_bins_150000.0-160000.0,1365.4592930511972,1365.4592930511972
new_odometer_bins_160000.0-170000.0,1354.4611936007464,1354.4611936007464
new_odometer_bins_620000.0-630000.0,1331.3393102180787,1331.3393102180787
drive_4wd,1280.9883205019692,1280.9883205019692
new_odometer_bins_1500000.0-1510000.0,-1279.1204290512562,1279.1204290512562
