original_feature,category,coefficient
new_year_bins,2015.0-2020.0,6679.739654893877
new_odometer_bins,20000.0-30000.0,5015.486635
new_odometer_bins,10000.0-20000.0,4948.326708857201
new_odometer_bins,30000.0-40000.0,4584.352217780901
new_odometer_bins,40000.0-50000.0,4303.982929501899
fuel,electric,-4065.385183
fuel,diesel,3879.1298271634264
new_year_bins,2010.0-2015.0,3704.9629587298073
new_odometer_bins,50000.0-60000.0,3534.158460112679
new_odometer_bins,280000.0-290000.0,-3340.667932
new_odometer_bins,60000.0-70000.0,3093.9639577328944
new_odometer_bins,250000.0-260000.0,-2934.306813
new_odometer_bins,290000.0-300000.0,-2776.170918
new_odometer_bins,270000.0-280000.0,-2750.045019
new_odometer_bins,240000.0-250000.0,-2700.353181
new_odometer_bins,70000.0-80000.0,2673.293362851277
new_year_bins,1980.0-1985.0,-2560.481647
collapsed_type,truck,2495.921228180998
new_odometer_bins,260000.0-270000.0,-2469.33555
new_year_bins,1995.0-2000.0,-2443.860247
new_odometer_bins,220000.0-230000.0,-2330.645316
new_odometer_bins,230000.0-240000.0,-2329.805627
new_odometer_bins,200000.0-210000.0,-2225.48704
new_odometer_bins,210000.0-220000.0,-2141.194052
new_year_bins,1990.0-1995.0,-2079.823778
new_odometer_bins,190000.0-200000.0,-1918.737057
new_odometer_bins,80000.0-90000.0,1900.8324181556775
new_year_bins,1985.0-1990.0,-1737.402878
new_odometer_bins,180000.0-190000.0,-1721.344598
new_year_bins,2000.0-2005.0,-1705.422016
collapsed_cylinders,4 cylinders,-1608.240152
geo_regions,alaska,1550.2248111429633
new_odometer_bins,90000.0-100000.0,1534.0105237310977
collapsed_cylinders,8 cylinders,1483.1098572346543
collapsed_type,car,-1481.814672
new_odometer_bins,170000.0-180000.0,-1433.38985
transmission,other,1369.0224539089113
drive,4wd,1276.331944837224
drive,fwd,-1268.564979
new_odometer_bins,0.0-10000.0,1188.3428099798596
geo_regions,northeast,-1104.763512
transmission,automatic,-1093.818221
new_odometer_bins,160000.0-170000.0,-1024.2435
new_odometer_bins,150000.0-160000.0,-940.4006382
manufacturer_tier,mid-market,-899.3016568
manufacturer_tier,luxury,894.1469541294155
drive,missing,-867.6528941
drive,rwd,859.8859285001831
collapsed_type_other,missing,-798.20368
manufacturer_tier,exotic,759.3829355456172
new_odometer_bins,100000.0-110000.0,757.7759689
manufacturer_tier,economy,-754.2282328
geo_regions,midwest,-718.4528099
new_odometer_bins,140000.0-150000.0,-658.9838245
fuel,other,621.6452618147632
new_odometer_bins,110000.0-120000.0,540.7953374227732
geo_regions,hawaii,519.1085630962338
fuel,gas,-385.541198
collapsed_cylinders,missing,306.2897746881234
new_odometer_bins,130000.0-140000.0,-295.2434126
collapsed_type_suv,crossover,-287.3282859
transmission,manual,-275.204233
geo_regions,southeast,-211.9352785
collapsed_cylinders,6 cylinders,-181.1594801
new_year_bins,2005.0-2010.0,142.28795289424252
new_odometer_bins,120000.0-130000.0,-84.96700102
collapsed_type,van,71.42540941155994
fuel,hybrid,-49.84870832
geo_regions,west,-34.18177384
